[11-03-2019 22:35:04] - SN:ZABRBA19110033Q;ZABRBA19110033R, MODELO:TG1692BR-SMT
[11-03-2019 22:37:04] - SN:ZABRBA19110033S;ZABRBA19110033T, MODELO:TG1692BR-SMT
[11-03-2019 22:38:40] - SN:ZABRBA19110033U;ZABRBA19110033V, MODELO:TG1692BR-SMT
[11-03-2019 22:40:01] - SN:ZABRBA19110033W;ZABRBA19110033X, MODELO:TG1692BR-SMT
[11-03-2019 22:41:35] - SN:ZABRBA19110033Y;ZABRBA19110033Z, MODELO:TG1692BR-SMT
[12-03-2019 15:58:34] - SN:ZABRBA191100340;ZABRBA191100341, MODELO:TG1692BR-SMT
[12-03-2019 16:01:57] - SN:ZABRBA191100342;ZABRBA191100343, MODELO:TG1692BR-SMT
[12-03-2019 16:03:07] - SN:ZABRBA191100344;ZABRBA191100345, MODELO:TG1692BR-SMT
[12-03-2019 16:04:48] - SN:ZABRBA191100346;ZABRBA191100347, MODELO:TG1692BR-SMT
[12-03-2019 16:06:39] - SN:ZABRBA191100348;ZABRBA191100349, MODELO:TG1692BR-SMT
[12-03-2019 16:08:55] - SN:ZABRBA19110034A;ZABRBA19110034B, MODELO:TG1692BR-SMT
[12-03-2019 16:16:26] - SN:ZABRBA19110034C;ZABRBA19110034D, MODELO:TG1692BR-SMT
[12-03-2019 16:21:12] - SN:ZABRBA19110034E;ZABRBA19110034F, MODELO:TG1692BR-SMT
[12-03-2019 16:21:54] - SN:ZABRBA19110034G;ZABRBA19110034H, MODELO:TG1692BR-SMT
[12-03-2019 16:38:03] - SN:ZABRBA19110034J;ZABRBA19110034K, MODELO:TG1692BR-SMT
[12-03-2019 16:38:31] - SN:ZABRBA19110034L;ZABRBA19110034M, MODELO:TG1692BR-SMT
[12-03-2019 16:41:18] - SN:ZABRBA19110034N;ZABRBA19110034P, MODELO:TG1692BR-SMT
[12-03-2019 16:47:09] - SN:ZABRBA19110034Q;ZABRBA19110034R, MODELO:TG1692BR-SMT
[12-03-2019 16:49:55] - SN:ZABRBA19110034S;ZABRBA19110034T, MODELO:TG1692BR-SMT
[12-03-2019 17:17:46] - SN:ZAGBBA191103KEP;ZAGBBA191103KEQ, MODELO:TG1692A-SMT
[12-03-2019 17:39:43] - SN:ZAGBBA191103KER;ZAGBBA191103KES, MODELO:TG1692A-SMT
[12-03-2019 17:43:03] - SN:ZABRBA19110034U;ZABRBA19110034V, MODELO:TG1692BR-SMT
[12-03-2019 20:44:57] - SN:93C2B2576500001, MODELO:TG1692BR
[12-03-2019 20:49:12] - SN:93C2B2576500002, MODELO:TG1692BR
[12-03-2019 20:49:41] - SN:93C2B2576500001, MODELO:TG1692BR
[12-03-2019 20:50:03] - SN:93C2B2576500002, MODELO:TG1692BR
[12-03-2019 20:50:26] - SN:93C2B2576500001, MODELO:TG1692BR
[12-03-2019 20:50:43] - SN:93C2B2576500002, MODELO:TG1692BR
[12-03-2019 20:51:54] - SN:93C2B2576500001, MODELO:TG1692BR
[12-03-2019 20:58:50] - SN:93C2B2576500001, MODELO:TG1692BR
[12-03-2019 21:17:13] - SN:93C2B2576500002, MODELO:TG1692BR
[12-03-2019 21:19:54] - SN:93C2B2576500001, MODELO:TG1692BR
[12-03-2019 21:23:00] - SN:93C2B2576502186, MODELO:TG1692BR
[12-03-2019 21:29:12] - SN:93C2B2576502187, MODELO:TG1692BR
[15-04-2019 11:49:55] - SN:94F2B2576500001, MODELO:TG1692BR
[16-04-2019 13:52:54] - SN:ZABRBA1916005JW;ZABRBA1916005JX, MODELO:TG1692BR-SMT
[16-04-2019 13:55:25] - SN:ZABRBA1916005JY;ZABRBA1916005JZ, MODELO:TG1692BR-SMT
[16-04-2019 13:56:22] - SN:ZABRBA1916005K0;ZABRBA1916005K1, MODELO:TG1692BR-SMT
[17-04-2019 08:21:31] - SN:ZABRBA1916005K2;ZABRBA1916005K3, MODELO:TG1692BR-SMT
[17-04-2019 08:22:15] - SN:ZABRBA1916005K4;ZABRBA1916005K5, MODELO:TG1692BR-SMT
[17-04-2019 08:22:27] - SN:ZABRBA1916005K6;ZABRBA1916005K7, MODELO:TG1692BR-SMT
[17-04-2019 08:22:57] - SN:ZABRBA1916005K8;ZABRBA1916005K9, MODELO:TG1692BR-SMT
[17-04-2019 08:25:18] - SN:ZABRBA1916005KA;ZABRBA1916005KB, MODELO:TG1692BR-SMT
[17-04-2019 08:26:04] - SN:ZABRBA1916005KC;ZABRBA1916005KD, MODELO:TG1692BR-SMT
[17-04-2019 08:29:06] - SN:ZABRBA1916005KE;ZABRBA1916005KF, MODELO:TG1692BR-SMT
